project_id,sheet_row,column,before,after
P6035,3495,RouteCreator,,CB
P6035,3495,Route [ref],,https://www.power-technology.com/marketdata/west-damietta-ccgt-power-plant-egypt/; https://www.geonames.org/search.html?q=Gamasa&country=EG; https://globalenergyobservatory.org/geoid/44897
P6685,3644,RouteNotes,,"CB: route guessed from endpoints — Two levels of corroboration: (1) the pipeline's existence, name, 42in diameter and 20km length are confirmed by Ministry of Petroleum Decree 1883/2025 (gazetted 16 Dec 2025) via Giza Governorate's follow-on land-expropriation Decree 297/2026 (independently reported by dostor.org and vetogate.com, both quoting the same governorate decree text); (2) the corridor and purpose (expanding the national gas grid to underserved areas / boosting network pressure, built by Petrojet under GASCO, running through Giza and Monufia Governorates alongside the Regional Ring Road near Munshaat al-Qanater) are described in a third, independent article (agrinewz, reporting on a Giza Agriculture Directorate meeting about the project's land impact). Endpoint-precision caveat: the 'Solaimaneyah' start is the weaker of the two coordinates -- OSM has only one place of that name in Giza Governorate ('Hadaeq El-Solaimaneyah'), which is plausible but the great-circle distance to North Giza (~25.5km) runs longer than the pipeline's own stated 20km length, meaning this is very likely in the right area but not an exact tie-in point. A human GIS pass against the Regional Ring Road corridor would tighten this. SHEET CONFLICT: IMPORTANT: the prior facility_anchor supplied for this row's 'end' (GEM entity 'Giza Gas Field (Egypt)', lon 29.846/lat 31.703, marked non-citable) is a NAME-COLLISION MISMATCH and should not be used. That GEM entity is the offshore 'Giza' gas field, part of BP's West Nile Delta project ~65-85km off the Alexandria coast (per BP and offshore-technology.com reporting) -- it has nothing to do with 'North Giza' in this pipeline's name, which the sourced decree/press instead ties to an onshore corridor through Giza and Monufia Governorates near Munshaat al-Qanater (consistent with the North Giza power station's location). Sheet's plain 'Giza' as EndLocation is directionally fine but under-specific -- the official name is specifically 'North Giza' (شمال الجيزة), a defined area, not central Giza city. Start coord basis: OSM/Nominatim-geocoded village/district named 'Hadaeq El-Solaimaneyah' (postal code 12588), Giza Governorate -- the only place bearing the pipeline's own name ('Solaimaneyah') found in Giza Governorate via public gazetteer search. Flagged medium confidence: great-circle distance to the North Giza end (~25.5km) runs somewhat longer than the pipeline's stated 20km length, suggesting this may not be the exact tie-in point, only the nearest named match.. End coord basis: Wikidata Q56359846 (North Giza Power Station), a sourced coordinate for the power plant that anchors the 'North Giza' end of the corridor; the agrinewz article independently places the pipeline's path near Munshaat al-Qanater in the same area.."
P6685,3644,RouteCreator,,CB
P6685,3644,Route [ref],,https://www.dostor.org/5517402; https://www.vetogate.com/5639977; https://www.agrinewz.com/Section-223/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%B5%D8%B1/%D8%AE%D8%B7-%D8%BA%D8%A7%D8%B2-%D8%A7%D9%84%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86%D9%8A%D8%A9-%D8%A8%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9-%D8%AD%D9%85%D8%A7%D9%8A%D8%A9-%D8%B5%D8%A7%D8%B1%D9%85%D8%A9-%D9%84%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D9%88%D8%AA%D8%B9%D9%88%D9%8A%D8%B6-%D9%81%D9%88%D8%B1%D9%8A-%D9%84%D9%84%D9%85%D8%B2%D8%A7%D8%B1%D8%B9%D9%8A%D9%86-%D8%AA%D8%AD%D8%AA-%D8%B1%D9%82%D8%A7%D8%A8%D8%A9-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D8%A8%D8%AA%D8%B1%D9%88%D9%84-1417554; https://www.wikidata.org/wiki/Q56359846
P6686,3645,RouteNotes,,"CB: route guessed from endpoints — Two independent Arabic-press reproductions (elwatannews, vetogate) of the same government decree text, plus a third (almasdar) that summarizes the decree's diameters/length/timeline -- all describe the identical cadastral route (36in tie-in at Beni Suef -> west along the Giza Canal/Beni Suef-Fayoum road -> ends in New Fayoum City), so this is well corroborated as an official, under-construction line, part of the 'Decent Life' (Hayah Karima) presidential initiative. Sheet length 18.5km vs. gazetted ~19km is a trivial rounding difference, not a conflict. Start-point coordinate is the weak link: the precise KM-0 tie-in site (near 'Ezbet Abdel Hafiz') has no independent public geocode, so Beni Suef city center is used as a loose stand-in -- flagged for a human GIS pass if precision matters. SHEET CONFLICT: Sheet has StartLocation='New Fayoum City' and EndLocation blank. Egyptian Ministry of Petroleum Decree 1884/2025 (gazetted 25 Dec 2025, Official Gazette issue 291-bis(b); reproduced verbatim by elwatannews and vetogate, corroborated by almasdar) describes this as the 'Beni Suef - New Fayoum' line: it STARTS at KM 0 on the existing Dahshur/Beni Suef 36in trunk line in Beni Suef Governorate and ENDS inside New Fayoum City at KM 19.000 (blow-off room 3). So the sheet has the correct place but on the wrong end -- New Fayoum City is the END, not the start, and the true start (Beni Suef) is missing from the sheet entirely. Start coord basis: Beni Suef city-center coordinate (Wikipedia infobox, 29°04'N 31°05'E) used as the nearest named/geocodable anchor. The gazetted route description places the actual tie-in (KM 0, blow-off room 1) several km west of the city in agricultural land near 'Ezbet Abdel Hafiz' -- that hamlet is not independently geocodable via OSM/Wikipedia, so the city center is a looser proxy; treat this endpoint's position as approximate.. End coord basis: New Faiyum, Wikipedia infobox coordinate (29°13'26""N 30°53'48""E) -- a real, established new urban community in Faiyum Governorate.."
P6686,3645,RouteCreator,,CB
P6686,3645,Route [ref],,https://www.vetogate.com/5562353; https://www.almasdar.com/165222; https://en.wikipedia.org/wiki/Beni_Suef; https://www.elwatannews.com/news/details/8197965; https://en.wikipedia.org/wiki/New_Faiyum
P6687,3646,RouteNotes,,CB: route from gulfpub — Obaiyed->Tarek portion of the same WDGP-N trace split (see P3934). 95.4 km vs sheet 41.5 km — LOUD ratio flag: the sheet's 41.5 km 'Obaiyed Spurline' may be a shorter physical spur than the full Obaiyed->Tarek trunk stretch; sheet length and segment definition need review. See prep_gulfpub_geoms.py.
P6687,3646,RouteCreator,,CB
P6687,3646,Route [ref],,
P6688,3647,RouteNotes,,"CB: route from gulfpub — GulfPub 'Shams - Obaiyed Pipeline' (41.5 km vs sheet 42), comparable coverage."
P6688,3647,RouteCreator,,CB
P6688,3647,Route [ref],,
P6689,3648,RouteNotes,,CB: route from gulfpub — GulfPub 'Abu Sennan Spur' GPT field -> T junction (54.4 km vs sheet 45); alternate shorter trace gulfpub:gas:20007 (20.5 km) exists — reviewer may prefer it if the GEM row is the GPT-Alam El Shawish leg only.
P6689,3648,RouteCreator,,CB
P6689,3648,Route [ref],,
P6692,3651,RouteNotes,,"CB: route from gulfpub — GulfPub 'Qasr GP - Shams Pipeline' (38.0 km vs sheet 40), GREEN comparable match."
P6692,3651,RouteCreator,,CB
P6692,3651,Route [ref],,
P6693,3652,RouteNotes,,"CB: route from gulfpub — GulfPub 'Salam - WDGP-N' (36.7 km vs sheet 35), comparable coverage."
P6693,3652,RouteCreator,,CB
P6693,3652,Route [ref],,
P6697,3656,RouteNotes,Nagwa: This is the full route of the pipeline which includes six segments,"Nagwa: This is the full route of the pipeline which includes six segments; CB: route from gulfpub — GulfPub 'South Valley Gas Pipeline' Dahsour -> El-Koraimet (61.7 km vs sheet 90 — ratio 0.69 below gate; either the sheet length is generous or the trace is short; flagged, not hidden). RouteType currently 'Included in other ProjectID' (trunk P0477 carries the mapped system route) — accepting per-segment geometry implies a RouteType change (Baird's call)."
P6697,3656,RouteCreator,,CB
P6697,3656,Route [ref],,
P6698,3657,RouteNotes,Nagwa: This is the full route of the pipeline which includes six segments,"Nagwa: This is the full route of the pipeline which includes six segments; CB: route from gulfpub — GulfPub 'Al Kurimat-Beni Suef' trace, green comparable match in recon-gulfpub-20260729; RouteType currently 'Included in other ProjectID' (trunk P0477) — accepting per-segment geometry implies a RouteType change (Baird's call)."
P6698,3657,RouteCreator,,CB
P6698,3657,Route [ref],,
P6699,3658,RouteNotes,Nagwa: This is the full route of the pipeline which includes six segments,"Nagwa: This is the full route of the pipeline which includes six segments; CB: route from gulfpub — GulfPub 'South Valley' Beni Suef -> Abu Qurqus (130.3 km vs sheet 150), GREEN comparable. RouteType currently 'Included in other ProjectID' (trunk P0477 carries the mapped system route) — accepting per-segment geometry implies a RouteType change (Baird's call)."
P6699,3658,RouteCreator,,CB
P6699,3658,Route [ref],,
P6700,3659,RouteNotes,Nagwa: This is the full route of the pipeline which includes six segments,"Nagwa: This is the full route of the pipeline which includes six segments; CB: route from gulfpub — GulfPub 'South Valley' Abu Qurqus -> Asyut (131.3 km vs sheet 147), GREEN comparable; rejected gulfpub:gas:425 (Abu Sultan-Dahshour, different line). RouteType currently 'Included in other ProjectID' (trunk P0477 carries the mapped system route) — accepting per-segment geometry implies a RouteType change (Baird's call)."
P6700,3659,RouteCreator,,CB
P6700,3659,Route [ref],,
P6701,3660,RouteNotes,Nagwa: This is the full route of the pipeline which includes six segments,"Nagwa: This is the full route of the pipeline which includes six segments; CB: route from gulfpub — GulfPub 'South Valley' Asyut -> Gerga (120.1 km vs sheet 121), GREEN comparable. RouteType currently 'Included in other ProjectID' (trunk P0477 carries the mapped system route) — accepting per-segment geometry implies a RouteType change (Baird's call)."
P6701,3660,RouteCreator,,CB
P6701,3660,Route [ref],,
P6702,3661,RouteNotes,Nagwa: This is the full route of the pipeline which includes six segments,"Nagwa: This is the full route of the pipeline which includes six segments; CB: route from gulfpub — GulfPub 'South Valley' Gerga -> Aswan (352.4 km vs sheet 390), GREEN comparable. RouteType currently 'Included in other ProjectID' (trunk P0477 carries the mapped system route) — accepting per-segment geometry implies a RouteType change (Baird's call)."
P6702,3661,RouteCreator,,CB
P6702,3661,Route [ref],,
P7447,3849,RouteNotes,,"CB: route from gulfpub — Merge of GulfPub Denise-anchored traces 409 (Denise-Port Said), 429 (Akhen-Denise), 437 (Denise-Wakar), 7072 (Denise-El Gamil), ~180 km total vs sheet 405 km — ratio flag: GEM row may total the wider Denise network; recon 07-29 already flagged partial coverage. Gaps between traces never bridged. See prep_gulfpub_geoms.py."
P7447,3849,RouteCreator,,CB
P7447,3849,Route [ref],,
P7567,3967,RouteNotes,,"CB: route guessed from endpoints — No independent pipeline-specific source found despite thorough English + Arabic search (GASCO's pipeline listing, OGJ's Egypt gas overview, general press) -- nothing names this specific line or its corridor; the only source describing it as a named route is GEM's own wiki page, which is excluded per standing rule. Both endpoint coordinates are verified-accurate Wikipedia town-center reads, ~23km apart on a plausible Cairo-Alexandria Agricultural Road / El-Mahmoudeya Canal corridor, against a sheet length of 29-30km -- consistent with a non-straight corridor, but this supports only that Idku and Abu Hummus are real, correctly-located towns, not that a pipeline specifically runs between them. Treat as a low-confidence two-point bound (endpoints rung only); RouteAccuracy should stay 'low'. Suggest StartLocation -> 'Idku'. Suggest EndLocation -> 'Abu Hummus'. Start coord basis: Wikipedia 'Edku' infobox (verified live fetch: 31°18'N 30°18'E / 31.300N 30.300E), town-center approximation.. End coord basis: Wikipedia 'Abu Hummus' infobox (verified live fetch: 31°06'02""N 30°18'46""E), town-center approximation.."
P7567,3967,RouteCreator,,CB
P7567,3967,Route [ref],,https://en.wikipedia.org/wiki/Edku; https://en.wikipedia.org/wiki/Abu_Hummus
P7572,3972,RouteNotes,,"CB: route guessed from endpoints — GEOGRAPHY CONCLUSION: independently re-verified via fresh search ('Qarun Gas Pipeline' Egypt, 'Qarun Petroleum' gas pipeline, WDGP Qarun, Western Desert Qarun gas evacuation) plus re-checking the Karawan/DEKA thread -- concluded the row's real identity is the offshore DEKA/Karawan sealine, not a Western Desert Qarun line (see sheet_conflicts for full reasoning). Could not source a precise wellhead coordinate for Karawan itself from any independent source; used the documented 'Temsah' field entry (same concession) as a concession-area start anchor, and Port Said (Wikipedia) as a named shore anchor for the export tie-in end. Both anchors are corroborated as being in the right offshore-Mediterranean-near-Port-Said geography by 2+ independent sources; the exact coordinates themselves each come from a single geocoding source. Length (206 km) remains an open, likely-erroneous, single-sourced figure -- flagged, not resolved. SHEET CONFLICT: GEM's row is named/mapped as 'Qarun' (a real but entirely unrelated Western Desert oil JV, Apache/EGPC, ~45 km 16-in OIL line to Dahshour) -- this appears to be a mistranslation/conflation of the Arabic 'Karawan' (offshore Mediterranean gas field) with 'Qarun' (Western Desert oil concession). Re-verified independently: 'Qarun' as a Western Desert brand is real (Qarun Petroleum Company, Apache/EGPC JV near Fayoum) but has no matching 206 km / 10-in gas pipeline -- its only documented pipeline is the 45 km 16-in oil line. GulfPub's 'Qarun West - WDGP-S' 18.9 km fragment (per hint) is a separate, small Western Desert gas gathering line that does not match this row's spec either -- looks like a same-name coincidence, not the same pipeline. By contrast, the offshore DEKA/Karawan/Temsah-Concession/Petrobel/32-inch-export-tie-in/El-Gamil-plant story is corroborated by two independent English trade sources (egyptoil-gas.com, offshore-mag.com) plus the row's own existing Arabic ref (almalnews.com), and its Operator field (Belayim Petroleum Co = Petrobel) matches the DEKA operator exactly -- strong evidence the row's underlying real-world asset is the Karawan-field sealine, filed under a mistranslated/conflated name. Separately, the sheet's 206 km / 10-in length looks implausible: Karawan field is only ~60 km offshore and the DEKA feature states the project laid a maximum of ~13 km of new small-diameter sealine plus tie-ins to the existing 32-in network -- 206 km does not reconcile with that description and should be treated as an unresolved, low-confidence figure (possible transcription/decimal error, e.g. 20.6 km) pending a second independent source. Suggest StartLocation -> 'Karawan gas field, Temsah Concession, offshore Mediterranean Sea, Egypt'. Suggest EndLocation -> 'El Gamil gas plant, near Port Said, Egypt'. Start coord basis: Geocoded from the named, documented 'Temsah' offshore field entry in an oil-rig/field database (ports.marinelink.com) -- this is the original Temsah field, which sits in the same Temsah Concession as the Karawan/Denise fields the pipeline actually serves; no independent source gives a distinct wellhead coordinate for Karawan itself, so this concession-area anchor is used instead of a fabricated point.. End coord basis: Wikipedia infobox coordinates for Port Said city (31°15'45""N 32°18'22""E); used as a defensible named-place anchor since El Gamil plant's own precise coordinates could not be corroborated on a citable source.."
P7572,3972,RouteCreator,,CB
P7572,3972,Route [ref],,https://egyptoil-gas.com/features/deka-development-project-2/; https://www.offshore-mag.com/subsea/article/16781177/deka-project-begins-production-offshore-egypt; https://almalnews.com/9021/%D8%A8%D8%AA%D8%B1%D9%88%D8%A8%D9%84-%D8%AA%D8%B7%D9%88%D8%B1-%D8%AD%D9%82%D9%88%D9%84-%D8%AF%D9%86%D9%8A%D8%B3-%D9%88%D9%83%D8%B1%D9%88%D8%A7%D9%86-%D9%81%D9%89-%D8%A7%D9%84%D9%85%D8%AA/; https://ports.marinelink.com/oilrigs/rig/temsah; https://en.wikipedia.org/wiki/Port_Said
P7574,3974,RouteNotes,,"CB: route guessed from endpoints — Strong resolution: the Egyptian Presidency's own project registry has a page specifically for this line ('إنشاء خط غاز لمحطة كهرباء العاصمة الإدارية الجديدة (سيمينز)') giving 32in/63km/327M EGP — an EXACT match to the sheet's 63.0km. elbalad.news (2016), reporting the Official Gazette land-appropriation decree, independently gives the detailed route (65km, matching within measurement tolerance) and the two chamber locations. petro-news.com's 2020s project-list article corroborates the same 63km/327M-EGP figures (likely itself sourced from the presidency registry, so treat as reinforcing rather than fully independent). Overall: 2 reasonably independent sources (official registry + contemporaneous press) on the pipeline's existence/length/cost, but the START coordinate is only as precise as 'the named road junction' — recommend RouteAccuracy='low' (rung-4 great-circle only). SHEET CONFLICT: Sheet StartLocation/EndLocation were blank (nothing contradicted), but flag a real risk of conflation: a SEPARATE sibling project, 'New Capital–Dahshur (Siemens)' (32in, 70km, 605M EGP, presidency.eg-confirmed), ALSO feeds the same NAC power station but via a different corridor (from the Dahshur compressor-station direction, south/southwest of Cairo). This 63km/327M-EGP line (P7574) instead taps the Abu Sultan–Ain Sokhna line east of Cairo, near Ain Sokhna. Do not merge the two corridors if GEM tracks the Dahshur line under another PID. Suggest StartLocation -> 'Abu Sultan–Ain Sokhna gas line tie-in (Sokhna–Cairo Rd / Wadi Hagul Rd junction)'. Suggest EndLocation -> 'New Administrative Capital power station'. Start coord basis: OSM/Nominatim geocode of the named road 'Wadi Hagul Road' (طريق وادى حجول), New Suez, Suez Governorate — the road the source names as the tie-in's location marker (intersection with the Sokhna–Cairo road). This is a corridor-area coordinate, not the exact chamber location, which is not published.. End coord basis: Arabic Wikipedia infobox coordinate for محطة كهرباء العاصمة الإدارية الجديدة: 29°54'29""N 31°45'18""E."
P7574,3974,RouteCreator,,CB
P7574,3974,Route [ref],,https://www.presidency.eg/ar/%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A%D8%A9/%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AE%D8%B7-%D8%BA%D8%A7%D8%B2-%D9%84%D9%85%D8%AD%D8%B7%D8%A9-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%B3%D9%8A%D9%85%D9%8A%D9%86%D8%B2/; https://petro-news.com/95212/; https://www.elbalad.news/2332558
P7577,3977,RouteNotes,,"CB: route guessed from endpoints — Sheet length 18.0 km for the 'Sub-Sea Pipeline' segment is independently corroborated: Daily News Egypt (2019-08-27, quoting Petrobel) states Petrobel built an '18 km-long, 26-inch-diameter offshore production line and 25 km-long, 26-inch-diameter onshore line' for Baltim South West — matching the 18.0/25.0 km sheet split exactly. This is a second independent source beyond the prior pass's sfegypt.com citation, both giving identical numbers. Platform location is confirmed by 3 sources to be ~12 km off the Baltim coast in 23-25 m water, on the Baltim South development lease (Eni/bp 50/50, operated by Petrobel on behalf of Medgas); however no source gives a surveyed platform lat/lon, so the start point remains a geometric approximation flagged as such. Landfall-at-Baltim is inferred (reasonable, but not an explicit statement in any source found) from the field's naming and the consistent 'off the Baltim coast' framing. All 4 URLs passed url_verifier.py. Start coord basis: Baltim village (coastal town, Kafr El Sheikh) is at 31.5544N/31.0903E per OpenStreetMap node 768568179. Eni's own press release, NS Energy Business, and Offshore Magazine all independently describe the Baltim South West platform as ~12 km off the Baltim/Mediterranean coast (NS Energy: platform in 23 m water, field in 25 m water). Offsetting Baltim's coordinate 12 km due north (12/111.32=0.108 deg lat) gives 31.5544+0.108=31.662N, 31.090E. This is a geometric approximation (due-north offset from a coastal town), NOT a surveyed platform coordinate — no source publishes exact platform lat/lon.. End coord basis: Baltim village/town centroid per OpenStreetMap node 768568179 (31.5544N, 31.0903E). No source explicitly states the exact landfall point; inferred from the field being named 'Baltim South West' and three independent sources (Eni, NS Energy, Offshore Magazine) placing the platform ~12 km off 'the Baltim coast.' Treated as the same point as P7578's start (subsea line ends where the onshore line begins).."
P7577,3977,RouteCreator,,CB
P7577,3977,Route [ref],,https://www.offshore-mag.com/production/article/14040083/baltim-south-west-gas-field-goes-onstream-offshore-egypt; https://www.dailynewsegypt.com/2019/08/27/first-well-of-baltim-south-west-gas-field-to-start-production-within-days-petrobel/; https://www.eni.com/en-IT/media/press-release/2019/09/eni-starts-production-of-baltim-south-west-field-offshore-egypt.html; https://www.nsenergybusiness.com/projects/baltim-south-west-field-nile-delta/
